#OTU ID	S4MRS3D7.MID108-108.P1.Dec16	S4MRSDd2.MID110-110.P1.Dec16	S4MRS3D7.MID108-108.P2.Dec16	S4MRSDd2.MID110-110.P2.Dec16	S4MRSDd2.MID110-110.P3.Dec16	S4MRS3D7.MID108-108.P3.Dec16
M00566:114:000000000-AWM6N:1:2104:5272:15236	0	1	0	1	1	0
M00566:113:000000000-AY2J2:1:1116:6171:14262	0	1	0	1	1	0
M00566:113:000000000-AY2J2:1:2115:19209:16354	0	1	0	1	1	0
M00566:113:000000000-AY2J2:1:2112:16243:19507	0	1	0	1	1	0
M00566:114:000000000-AWM6N:1:2108:11159:14502	0	1	0	1	1	0
M00566:114:000000000-AWM6N:1:2113:6985:8530	0	1	0	1	1	0
M00566:113:000000000-AY2J2:1:1101:16297:10616	0	1	0	1	1	0
M00566:113:000000000-AY2J2:1:1119:8773:3613	0	1	0	1	1	0
M00566:113:000000000-AY2J2:1:1119:17559:9641	0	1	0	1	1	0
M00566:113:000000000-AY2J2:1:1117:10314:8752	0	1	0	1	1	0
M00566:113:000000000-AY2J2:1:1107:14959:13197	0	1	0	1	1	0
M00566:113:000000000-AY2J2:1:1102:21762:15714	0	1	0	1	1	0
M00566:113:000000000-AY2J2:1:2103:9109:13336	0	1	0	1	1	0
M00566:114:000000000-AWM6N:1:1111:20785:21967	0	1	0	1	1	0
M00566:114:000000000-AWM6N:1:1116:16916:8758	0	1	0	0	1	0
M00566:113:000000000-AY2J2:1:1113:17278:12982	0	1	0	0	0	0
M00566:113:000000000-AY2J2:1:1112:17250:19668	0	0	0	1	0	0
M00566:113:000000000-AY2J2:1:2103:12953:5587	0	0	0	1	0	0
M00566:113:000000000-AY2J2:1:1112:23375:18550	0	0	0	1	0	0
M00566:114:000000000-AWM6N:1:2103:17037:9533	0	0	0	0	1	0
M00566:114:000000000-AWM6N:1:1104:17695:5752	0	0	0	0	1	0
M00566:114:000000000-AWM6N:1:2105:12575:5965	0	0	0	0	1	0
