Domains,DBLa2,DBLa1.5,DBLa1.4,DBLa1.7,DBLa1.6,DBLa1.1,DBLa1.2,DBLa1.8,DBLa0.8,DBLa0.9,DBLa0.1,DBLa0.2,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.12,DBLa0.10,DBLa0.11,DBLa0.16,DBLa0.17,DBLa0.14,DBLa0.15,DBLa0.18,DBLa0.19,DBLa0.24,DBLa0.23,DBLa0.22,DBLa0.21,DBLa0.20,
M00566:114:000000000-AWM6N:1:1102:21526:5991;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:2115:19209:16354;sample=S4MRSDd2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:1109:23439:3793;sample=S4MRS3D7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:2108:14711:15355;sample=S4MRS3D7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:114:000000000-AWM6N:1:1116:16916:8758;sample=S4MRSDd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
M00566:114:000000000-AWM6N:1:2115:16018:9002;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:114:000000000-AWM6N:1:2103:17037:9533;sample=S4MRSDd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
M00566:114:000000000-AWM6N:1:2113:6985:8530;sample=S4MRSDd2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:1103:21171:15500;sample=S4MRSDd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:2117:24699:13824;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
M00566:114:000000000-AWM6N:1:1103:12592:11163;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:2108:19818:14627;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:1105:14565:8623;sample=S4MRSDd2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:2102:15849:2565;sample=S4MRSDd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
M00566:113:000000000-AY2J2:1:2114:15592:13978;sample=S4MRSDd2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:2104:12143:8183;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
M00566:113:000000000-AY2J2:1:2117:14229:4719;sample=S4MRS3D7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:2114:16978:14589;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
M00566:113:000000000-AY2J2:1:2103:10291:18573;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:1104:21758:13309;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:114:000000000-AWM6N:1:1104:17695:5752;sample=S4MRSDd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:2106:18453:6405;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
M00566:113:000000000-AY2J2:1:2115:14264:13611;sample=S4MRS3D7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:1112:23375:18550;sample=S4MRSDd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
