"DBLa_type","Ups","S4MRS3D7.MID108-108.P1.Dec16","S4MRSDd2.MID110-110.P1.Dec16","S4MRS3D7.MID108-108.P2.Dec16","S4MRSDd2.MID110-110.P2.Dec16","S4MRSDd2.MID110-110.P3.Dec16","S4MRS3D7.MID108-108.P3.Dec16"
"64","M00566:114:000000000-AWM6N:1:1109:12857:20578","non-upsA",0,1,0,1,1,0
"65","M00566:113:000000000-AY2J2:1:1113:24130:3816","non-upsA",0,1,0,1,1,0
"66","M00566:113:000000000-AY2J2:1:2109:7280:18768","non-upsA",0,1,0,1,1,0
"67","M00566:113:000000000-AY2J2:1:2102:15849:2565","non-upsA",0,1,0,1,1,0
"68","M00566:113:000000000-AY2J2:1:2105:7005:12995","non-upsA",0,1,0,1,1,0
"69","M00566:113:000000000-AY2J2:1:1108:27485:14100","non-upsA",0,1,0,1,1,0
"70","M00566:113:000000000-AY2J2:1:1105:23522:12598","non-upsA",0,1,0,1,1,0
"71","M00566:114:000000000-AWM6N:1:1107:25135:10101","non-upsA",0,1,0,1,1,0
"72","M00566:113:000000000-AY2J2:1:1117:8866:17821","non-upsA",0,1,0,1,1,0
"73","M00566:114:000000000-AWM6N:1:1103:20852:19748","upsA",0,1,0,1,1,0
"74","M00566:113:000000000-AY2J2:1:1109:20323:10449","non-upsA",0,1,0,1,1,0
"75","M00566:113:000000000-AY2J2:1:2105:14468:13987","non-upsA",0,1,0,1,1,0
"76","M00566:113:000000000-AY2J2:1:2114:15592:13978","non-upsA",0,1,0,1,1,0
"77","M00566:114:000000000-AWM6N:1:2106:19118:17308","non-upsA",0,1,0,1,1,0
"78","M00566:113:000000000-AY2J2:1:1105:14565:8623","non-upsA",0,1,0,1,1,0
"79","M00566:114:000000000-AWM6N:1:2104:5272:15236","non-upsA",0,1,0,1,1,0
"80","M00566:113:000000000-AY2J2:1:1116:6171:14262","upsA",0,1,0,1,1,0
"81","M00566:113:000000000-AY2J2:1:2115:19209:16354","non-upsA",0,1,0,1,1,0
"82","M00566:113:000000000-AY2J2:1:2112:16243:19507","non-upsA",0,1,0,1,1,0
"83","M00566:114:000000000-AWM6N:1:2108:11159:14502","non-upsA",0,1,0,1,1,0
"84","M00566:114:000000000-AWM6N:1:2113:6985:8530","upsA",0,1,0,1,1,0
"85","M00566:113:000000000-AY2J2:1:1101:16297:10616","upsA",0,1,0,1,1,0
"86","M00566:113:000000000-AY2J2:1:1119:8773:3613","non-upsA",0,1,0,1,1,0
"87","M00566:113:000000000-AY2J2:1:1119:17559:9641","non-upsA",0,1,0,1,1,0
"88","M00566:113:000000000-AY2J2:1:1117:10314:8752","non-upsA",0,1,0,1,1,0
"89","M00566:113:000000000-AY2J2:1:1107:14959:13197","upsA",0,1,0,1,1,0
"90","M00566:113:000000000-AY2J2:1:1102:21762:15714","non-upsA",0,1,0,1,1,0
"91","M00566:113:000000000-AY2J2:1:2103:9109:13336","non-upsA",0,1,0,1,1,0
"92","M00566:114:000000000-AWM6N:1:1111:20785:21967","upsA",0,1,0,1,1,0
"93","M00566:114:000000000-AWM6N:1:1116:16916:8758","non-upsA",0,1,0,0,1,0
"94","M00566:113:000000000-AY2J2:1:1113:17278:12982","non-upsA",0,1,0,0,0,0
"95","M00566:113:000000000-AY2J2:1:1112:17250:19668","non-upsA",0,0,0,1,0,0
"96","M00566:113:000000000-AY2J2:1:2103:12953:5587","non-upsA",0,0,0,1,0,0
"97","M00566:113:000000000-AY2J2:1:1112:23375:18550","non-upsA",0,0,0,1,0,0
"98","M00566:114:000000000-AWM6N:1:2103:17037:9533","non-upsA",0,0,0,0,1,0
"99","M00566:114:000000000-AWM6N:1:1104:17695:5752","non-upsA",0,0,0,0,1,0
"100","M00566:114:000000000-AWM6N:1:2105:12575:5965","non-upsA",0,0,0,0,1,0
